aX,aY,aZ,gX,gY,gZ
-0.088,-0.225,0.242,205.017,-2.747,-56.58
-0.146,-0.249,0.224,205.75,-2.441,-54.871
-0.173,-0.262,0.091,208.923,1.953,-55.481
-0.193,-0.332,-0.017,205.139,3.662,-56.885
-0.22,-0.369,-0.056,198.242,4.517,-58.777
-0.267,-0.347,-0.167,196.655,11.963,-61.218
-0.349,-0.364,-0.259,194.458,18.372,-60.181
-0.354,-0.394,-0.292,183.044,19.775,-54.077
-0.362,-0.464,-0.389,169.495,20.081,-57.251
-0.412,-0.467,-0.438,163.208,16.724,-62.439
-0.464,-0.464,-0.371,154.358,5.981,-59.204
-0.506,-0.493,-0.419,149.719,-4.395,-55.42
-0.512,-0.506,-0.562,155.823,-12.634,-56.458
-0.547,-0.445,-0.703,157.471,-25.513,-55.603
-0.588,-0.453,-0.833,146.851,-46.57,-52.795
-0.592,-0.513,-0.981,136.78,-75.684,-51.208
-0.587,-0.596,-1.133,140.93,-96.008,-41.26
-0.757,-0.473,-1.339,141.235,-95.093,-19.104
-0.749,-0.463,-1.455,125.793,-86.548,1.038
-0.886,-0.433,-1.567,111.389,-78.064,21.423
-0.962,-0.342,-1.631,94.849,-69.824,36.987
-0.888,-0.44,-1.599,70.557,-63.782,33.63
-0.727,-0.555,-1.533,51.331,-50.72,27.283
-0.534,-0.655,-1.443,29.236,-26.489,25.33
-0.354,-0.678,-1.297,-1.709,-3.113,32.715
-0.252,-0.734,-1.067,-30.212,4.211,37.292
-0.193,-0.761,-0.826,-46.936,2.258,37.659
-0.137,-0.799,-0.712,-51.697,4.822,34.119
-0.095,-0.813,-0.68,-50.537,12.085,26.917
-0.103,-0.818,-0.671,-52.612,17.029,17.273
-0.138,-0.8,-0.664,-59.753,14.526,8.484
-0.203,-0.767,-0.651,-67.017,5.249,2.258
-0.272,-0.718,-0.652,-70.313,-5.493,-0.916
-0.329,-0.671,-0.727,-72.693,-17.883,-2.747
-0.376,-0.654,-0.823,-75.684,-33.997,-3.418
-0.407,-0.644,-0.869,-82.458,-53.528,-2.258
-0.419,-0.599,-0.856,-92.773,-67.993,-0.244
-0.413,-0.575,-0.849,-105.408,-70.068,1.648
-0.373,-0.579,-0.848,-119.69,-63.66,2.93
-0.338,-0.568,-0.794,-134.705,-53.833,3.357
-0.303,-0.544,-0.718,-148.01,-40.344,2.258
-0.292,-0.513,-0.628,-158.142,-23.56,-0.732
-0.292,-0.461,-0.526,-165.1,-7.202,-3.052
-0.359,-0.365,-0.377,-171.448,3.723,-4.456
-0.383,-0.37,-0.307,-177.795,9.827,-2.625
-0.358,-0.391,-0.242,-183.777,9.155,1.709
-0.332,-0.41,-0.167,-188.782,3.845,5.798
-0.273,-0.46,-0.165,-193.848,-0.305,6.042
-0.225,-0.447,-0.144,-200.5,-5.371,4.822
-0.153,-0.45,-0.138,-207.703,-9.155,1.099
-0.121,-0.396,-0.092,-214.478,-11.292,-6.531
-0.186,-0.195,0.035,-216.492,-11.047,-13.794
-0.237,-0.026,0.177,-214.233,-9.521,-15.686
-0.345,-0.009,0.248,-209.045,-8.728,-11.658
-0.409,0.141,0.374,-206.238,-10.254,6.714
-0.414,0.175,0.567,-220.398,-12.634,30.273
-0.307,0.06,0.668,-244.385,-14.221,51.331
-0.177,-0.052,0.788,-259.644,-12.878,61.707
-0.096,-0.164,1.059,-260.681,-13.245,61.768
-0.05,-0.105,1.267,-252.991,-0.977,53.04
-0.153,-0.127,1.614,-235.291,16.235,40.466
-0.095,-0.158,1.978,-219.36,31.25,36.438
0.02,-0.236,1.941,-213.928,47.852,31.067
0.125,-0.265,1.952,-197.327,44.495,19.104
0.055,-0.394,1.941,-171.204,30.09,9.033
0.098,-0.384,1.838,-152.1,15.015,5.31
0.072,-0.304,1.737,-136.78,1.526,4.822
0.035,-0.349,1.829,-126.526,-11.23,5.859
0.101,-0.48,1.903,-129.089,-8.301,4.761
0.009,-0.573,1.866,-128.113,10.376,-4.272
-0.067,-0.607,1.848,-117.432,23.987,-10.498
-0.132,-0.625,1.82,-104.492,24.902,-11.78
-0.174,-0.666,1.771,-87.952,21.851,-13.184
-0.197,-0.611,1.68,-68.726,23.743,-13.428
-0.017,-0.456,1.557,-51.331,31.616,-16.968
0.026,-0.35,0.991,-50.354,47.302,-36.316
-0.039,-0.699,1.052,-43.213,-8.484,-61.89
-0.199,-0.613,1.36,-57.678,-27.222,-43.701
-0.136,-0.5,1.434,-61.035,-20.752,-35.095
-0.083,-0.609,1.409,-63.843,5.676,-29.419
-0.134,-0.622,1.279,-62.683,17.578,-8.179
-0.029,-0.521,1.214,-60.913,16.785,13.245
0.06,-0.353,1.191,-55.481,7.629,22.339
0.043,-0.273,1.148,-41.321,-6.775,19.104
0.052,-0.37,1.124,-27.1,-16.785,4.395
-0.07,-0.369,0.94,-15.442,-16.663,-9.399
-0.189,-0.434,1.021,-5.127,-28.503,-15.503
-0.216,-0.377,1.002,-2.869,-21.484,-10.193
-0.228,-0.355,0.929,-2.991,-7.385,-8.789
-0.205,-0.381,0.859,-6.653,4.089,-6.348
-0.172,-0.386,0.775,-11.047,8.24,-2.869
-0.147,-0.412,0.761,-13.489,2.075,-1.892
-0.137,-0.43,0.783,-12.756,-8.728,-2.441
-0.145,-0.41,0.792,-10.254,-17.761,-2.869
,,,,,
-0.104,-0.368,2.025,79.773,65.918,18.738
-0.041,-0.389,2.058,91.37,69.214,19.104
0.058,-0.426,2.057,99.548,73.914,16.418
0.141,-0.46,1.949,111.694,77.332,9.338
0.165,-0.433,1.937,128.479,72.937,-1.221
